id,tx,ty,rotation_deg,scale,patch_version,seed,tile_family,label
t_spectre_tile_1_1__pv1.0.0__4d800f49f5e9ff53794568847c,-11.52377949416397,-1.8553594796835715,119.99999999999999,1.1000000000000001,1.0.0,,spectre_tile_1_1,Sigma
t_spectre_tile_1_1__pv1.0.0__69e52bcb9d24b42aa2c20f35fa,-9.6185236058381847,0.049896408642183587,119.99999999999999,1.1000000000000001,1.0.0,,spectre_tile_1_1,Psi
t_spectre_tile_1_1__pv1.0.0__e6a7029ebcfe2a030b5a0171b1,-5.8080118291867686,3.8604081852936929,-59.999999999999972,1.1000000000000001,1.0.0,,spectre_tile_1_1,Phi
t_spectre_tile_1_1__pv1.0.0__dd1a8be5fd81f0dfd5e7cfcf00,-5.8080118291867686,5.7656640736194795,-119.99999999999997,1.1000000000000001,1.0.0,,spectre_tile_1_1,Sigma
t_spectre_tile_1_1__pv1.0.0__0974f40654aa0990ebeb8a3328,-8.4106397733496294,6.4630361294565866,-119.99999999999997,1.1000000000000001,1.0.0,,spectre_tile_1_1,Psi
t_spectre_tile_1_1__pv1.0.0__79ed2c146256f241c7d8c4a9e2,8.8551278916277294,-2.9948477030320309,-8.8860641087827079e-15,1.1000000000000001,1.0.0,,spectre_tile_1_1,Sigma
t_spectre_tile_1_1__pv1.0.0__166fe0b96a51d0afb40179b49f,3.3946161149762193,-3.9474756471949237,59.999999999999993,1.1000000000000001,1.0.0,,spectre_tile_1_1,Gamma
t_spectre_tile_1_1__pv1.0.0__b15f2052fdda6d9593d6b3caa1,5.9972440591391125,-2.7395918147062761,30.000000000000004,1.1000000000000001,1.0.0,,spectre_tile_1_1,Gamma
t_spectre_tile_1_1__pv1.0.0__37809d42cea8b824430732ac0d,6.9498720033019739,-1.0895918147062758,180,1.1000000000000001,1.0.0,,spectre_tile_1_1,Xi
t_spectre_tile_1_1__pv1.0.0__30caef38cf0b72ea3105bcf105,8.5998720033019751,-2.0422197588691691,119.99999999999999,1.1000000000000001,1.0.0,,spectre_tile_1_1,Delta
t_spectre_tile_1_1__pv1.0.0__53c9d9915586e9b5691932d98e,10.50512789162773,-0.13696387054338288,119.99999999999999,1.1000000000000001,1.0.0,,spectre_tile_1_1,Xi
